,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,1,2007-08,21.0,BOS,NBA,PG,77.0,77.0,29.9,4.6,9.3,0.492,0.1,0.2,0.263,4.5,9.0,0.499,0.496,1.4,2.3,0.611,1.0,3.2,4.2,5.1,1.7,0.2,1.9,2.4,10.6
2,2,2008-09,22.0,BOS,NBA,PG,80.0,80.0,33.0,4.8,9.5,0.505,0.2,0.6,0.313,4.6,8.9,0.518,0.514,2.2,3.4,0.642,1.3,4.0,5.2,8.2,1.9,0.1,2.6,2.4,11.9
3,3,2009-10,23.0,BOS,NBA,PG,81.0,81.0,36.6,5.7,11.2,0.508,0.2,1.0,0.213,5.5,10.2,0.536,0.517,2.2,3.5,0.621,1.2,3.2,4.4,9.8,2.3,0.1,3.0,2.4,13.7
4,4,2010-11,24.0,BOS,NBA,PG,68.0,68.0,37.2,4.7,9.9,0.475,0.1,0.6,0.233,4.5,9.2,0.491,0.482,1.1,1.9,0.568,1.3,3.1,4.4,11.2,2.3,0.2,3.4,1.8,10.6
5,5,2011-12,25.0,BOS,NBA,PG,53.0,53.0,36.9,4.8,10.8,0.448,0.2,0.8,0.238,4.6,10.0,0.464,0.456,2.0,3.4,0.597,1.2,3.7,4.8,11.7,1.8,0.1,3.6,1.9,11.9
6,10,2014-15,28.0,"DAL,BOS,TOT",NBA,PG,136.0,136.0,90.2,11.9,28.3,1.267,1.2000000000000002,4.0,0.916,10.7,24.299999999999997,1.327,1.329,1.4,3.6,1.182,3.2,14.3,17.5,25.200000000000003,4.2,0.30000000000000004,9.4,6.6,26.500000000000004
7,12,2016-17,30.0,CHI,NBA,PG,34.5,21.0,13.35,1.65,4.05,0.204,0.35,0.95,0.188,1.3,3.1,0.209,0.2265,0.2,0.35,0.3,0.55,2.05,2.55,3.35,0.7,0.1,1.2,1.05,3.9
8,13,2017-18,31.0,NOP,NBA,PG,65.0,63.0,26.2,3.6,7.6,0.468,0.8,2.3,0.333,2.8,5.3,0.526,0.518,0.4,0.7,0.543,0.5,3.6,4.0,8.2,1.1,0.2,2.3,1.8,8.3
9,15,2019-20,33.0,LAL,NBA,PG,48.0,3.0,20.5,2.9,6.8,0.418,0.9,2.6,0.328,2.0,4.2,0.473,0.48,0.6,0.9,0.659,0.5,2.5,3.0,5.0,0.8,0.0,1.9,1.2,7.1
10,18,2020-21,34.0,"LAC,ATL,TOT",NBA,PG,90.0,6.0,52.4,6.5,14.7,1.328,2.5,6.1,1.214,4.1,8.6,1.408,1.5790000000000002,1.2000000000000002,1.3,2.441,1.3,6.199999999999999,7.5,13.7,2.5,0.30000000000000004,5.4,3.7,16.9
